Country Name,Date,Business: Mobile phone subscribers,Business: Internet users (per 100 people),"Health: Mortality, under-5 (per 1,000 live births)",Population: Total (count),Finance: GDP per capita (current US$),Mobile subscribers per capita,log(GDP per capita),log(Health: mortality under-5),Region
Mexico,7/1/2000,14077880,5,29,99959594,5817,0.14084,8.66854,3.36730,The Americas
Trinidad and Tobago,7/1/2000,161860,8,32,1292058,6311,0.12527,8.75005,3.46574,The Americas
Uruguay,7/1/2000,410787,11,17,3300847,6914,0.12445,8.84130,2.83321,The Americas
Argentina,7/1/2000,6487950,7,20,36930709,7696,0.17568,8.94846,2.99573,The Americas
St. Kitts and Nevis,7/1/2000,1200,6,16,44286,8599,0.02710,9.05940,2.77259,The Americas
Barbados,7/1/2000,28467,4,17,267511,9565,0.10641,9.16587,2.83321,The Americas
Antigua and Barbuda,7/1/2000,22000,6,15,77656,10334,0.28330,9.24319,2.70805,The Americas
"Bahamas, The",7/1/2000,31524,8,17,297651,21258,0.10591,9.96449,2.83321,The Americas
Canada,7/1/2000,8727000,51,6,30769700,23560,0.28362,10.06731,1.79176,The Americas
United States,7/1/2000,109478031,43,9,282162411,35082,0.38800,10.46544,2.19722,The Americas
"Congo, Dem. Rep.",7/1/2010,11820348,1,170,65965795,199,0.17919,5.29330,5.13580,Africa
Burundi,7/1/2010,1150500,2,142,8382849,242,0.13724,5.48894,4.95583,Africa
Liberia,7/1/2010,1571308,7,103,3994122,247,0.39341,5.50939,4.63473,Africa
Malawi,7/1/2010,3037469,2,92,14900841,339,0.20385,5.82600,4.52179,Africa
Niger,7/1/2010,3805592,1,143,15511953,349,0.24533,5.85507,4.96284,Africa
Ethiopia,7/1/2010,6854000,1,106,82949541,358,0.08263,5.88053,4.66344,Africa
Mozambique,7/1/2010,7224176,4,135,23390765,394,0.30885,5.97635,4.90527,Africa
Eritrea,7/1/2010,185275,5,61,5253676,403,0.03527,5.99894,4.11087,Africa
Madagascar,7/1/2010,7711721,2,62,20713819,421,0.37230,6.04263,4.12713,Africa
Central African Republic,7/1/2010,979232,2,159,4401051,451,0.22250,6.11147,5.06890,Africa
