Country Name,Date,Business: Mobile phone subscribers,Business: Internet users (per 100 people),"Health: Mortality, under-5 (per 1,000 live births)",Population: Total (count),Finance: GDP per capita (current US$),Mobile subscribers per capita,log(GDP per capita),log(Health: mortality under-5),Region
Argentina,7/1/2010,57300000,36,14,40412376,9124,1.41788,9.11866,2.63906,The Americas
Mexico,7/1/2010,91362753,31,17,113423047,9133,0.80550,9.11965,2.83321,The Americas
Brazil,7/1/2010,202944033,41,19,194946470,10993,1.04102,9.30501,2.94444,The Americas
Uruguay,7/1/2010,4437158,48,11,3356584,11742,1.32193,9.37093,2.39790,The Americas
Chile,7/1/2010,19852242,45,9,17113688,12640,1.16002,9.44462,2.19722,The Americas
St. Kitts and Nevis,7/1/2010,80000,76,8,52402,12847,1.52666,9.46087,2.07944,The Americas
Antigua and Barbuda,7/1/2010,167970,80,8,88710,13006,1.89347,9.47317,2.07944,The Americas
"Venezuela, RB",7/1/2010,27879924,36,18,28834000,13658,0.96691,9.52208,2.89037,The Americas
Barbados,7/1/2010,350061,70,20,273331,15035,1.28072,9.61814,2.99573,The Americas
Trinidad and Tobago,7/1/2010,1894240,49,27,1341465,15614,1.41207,9.65592,3.29584,The Americas
"Bahamas, The",7/1/2010,428377,43,16,342877,22665,1.24936,10.02858,2.77259,The Americas
Canada,7/1/2010,24037372,81,6,34126181,46212,0.70437,10.74099,1.79176,The Americas
United States,7/1/2010,278900000,74,8,309349689,46702,0.90157,10.75154,2.07944,The Americas
